                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     54,                 2.8506,                 9.8353,                0.69389,                 3.1393,                 4.0466,                0.00667,                0.57143,                0.02154,                0.00561,                      0,                      0,                      0,                      0,                 3.3896,                 11.181,                0.69784,                 3.8641,                 4.1682,             0.00050263,             0.00050263,             0.00050263
                     55,                 3.3448,                 9.8561,                0.70876,                 3.4013,                 3.9862,                0.00667,                0.57143,                0.02154,                0.00561,                      0,                      0,                      0,                      0,                 3.3896,                 11.181,                0.69784,                 3.8641,                 4.1682,             0.00050105,             0.00050105,             0.00050105
                     56,                 2.3253,                  9.377,                0.67796,                 3.8588,                 3.9567,                0.00667,                0.57143,                0.02127,                 0.0055,                      0,                      0,                      0,                      0,                 3.3941,                 11.168,                0.69824,                   3.84,                 4.1751,             0.00049907,             0.00049907,             0.00049907
                     57,                 3.2727,                 9.3561,                0.69844,                 3.3467,                 4.0731,                0.00667,                0.57143,                0.02127,                 0.0055,                      0,                      0,                      0,                      0,                 3.3941,                 11.168,                0.69824,                   3.84,                 4.1751,              0.0004967,              0.0004967,              0.0004967
                     58,                 2.8801,                 9.9578,                0.67912,                 3.8184,                 3.9161,                0.00667,                0.57143,                0.02127,                 0.0055,                      0,                      0,                      0,                      0,                 3.3941,                 11.168,                0.69824,                   3.84,                 4.1751,             0.00049393,             0.00049393,             0.00049393
                     59,                 3.1119,                 10.193,                0.67148,                 3.6938,                  3.859,                0.00667,                0.57143,                0.02256,                0.00584,                      0,                      0,                      0,                      0,                 3.4021,                 11.177,                 0.6985,                  3.863,                 4.1853,             0.00049076,             0.00049076,             0.00049076
                     60,                  3.588,                 10.327,                0.69621,                 4.0037,                 4.0882,                0.00667,                0.57143,                0.02256,                0.00584,                      0,                      0,                      0,                      0,                 3.4021,                 11.177,                 0.6985,                  3.863,                 4.1853,              0.0004872,              0.0004872,              0.0004872
                     61,                 3.3997,                 9.7799,                0.65323,                 3.6723,                 4.0523,                0.00667,                0.57143,                0.02256,                0.00584,                      0,                      0,                      0,                      0,                 3.4021,                 11.177,                 0.6985,                  3.863,                 4.1853,             0.00048324,             0.00048324,             0.00048324
                     62,                 2.6304,                 10.162,                0.69112,                 3.4811,                 4.0326,                0.00667,                0.57143,                 0.0236,                0.00603,                      0,                      0,                      0,                      0,                 3.4188,                 11.169,                0.69846,                 3.8841,                 4.1947,             0.00047889,             0.00047889,             0.00047889
                     63,                  3.391,                 9.7897,                0.66965,                 3.3908,                 3.8528,                0.00667,                0.57143,                 0.0236,                0.00603,                      0,                      0,                      0,                      0,                 3.4188,                 11.169,                0.69846,                 3.8841,                 4.1947,             0.00047414,             0.00047414,             0.00047414
                     64,                   3.01,                 9.1839,                0.67791,                  3.427,                 3.8368,                0.00667,                0.57143,                 0.0236,                0.00603,                      0,                      0,                      0,                      0,                 3.4188,                 11.169,                0.69846,                 3.8841,                 4.1947,             0.00046899,             0.00046899,             0.00046899
                     65,                 3.5178,                 8.9699,                0.70129,                 3.4476,                 3.8702,                0.00583,                    0.5,                0.02354,                0.00596,                      0,                      0,                      0,                      0,                 3.4293,                  11.17,                0.69829,                 3.9098,                 4.2045,             0.00046345,             0.00046345,             0.00046345
                     66,                 3.0464,                 9.6262,                0.66175,                 3.5686,                 3.8652,                0.00583,                    0.5,                0.02354,                0.00596,                      0,                      0,                      0,                      0,                 3.4293,                  11.17,                0.69829,                 3.9098,                 4.2045,             0.00045751,             0.00045751,             0.00045751
                     67,                 3.4321,                 9.3889,                 0.7033,                  3.517,                 3.9718,                0.00583,                    0.5,                0.02354,                0.00596,                      0,                      0,                      0,                      0,                 3.4293,                  11.17,                0.69829,                 3.9098,                 4.2045,             0.00045118,             0.00045118,             0.00045118
